City_ID,City,Country,Date,Lat,Lng,Humidity,Max Temp,Cloudiness,Wind Speed
144,Mackay,AU,2022-04-20 20:15:07,-21.15,149.2,85,295.75,100,6.21
145,Bereda,ES,2022-04-20 20:19:41,43.2686,-7.5406,91,277.67,6,1.12
146,Atuona,PF,2022-04-20 20:19:41,-9.8,-139.0333,74,299.16,38,7.88
147,Oktyabrskoye,RU,2022-04-20 20:19:42,43.0645,44.7417,100,281.23,100,1.0
148,Tezu,IN,2022-04-20 20:19:43,27.9167,96.1667,83,293.63,96,1.31
149,Sorong,ID,2022-04-20 20:19:43,-0.8833,131.25,86,299.04,77,1.12
150,Atambua,ID,2022-04-20 20:19:44,-9.1061,124.8925,88,295.59,100,1.66
151,Tual,ID,2022-04-20 20:19:44,-5.6667,132.75,75,301.58,100,2.36
152,Sioux Lookout,CA,2022-04-20 20:19:45,50.1001,-91.917,100,273.19,100,5.14
153,Maumere,ID,2022-04-20 20:19:45,-8.6199,122.2111,83,299.66,81,3.21
154,Ayase,JP,2022-04-20 20:19:46,35.4464,139.4309,88,286.86,91,2.44
155,Tiksi,RU,2022-04-20 20:19:46,71.6872,128.8694,99,258.77,100,1.93
156,Ancud,CL,2022-04-20 20:19:47,-41.8697,-73.8203,73,283.83,100,5.85
157,Melfi,IT,2022-04-20 20:19:47,40.9965,15.6514,93,281.07,98,1.21
158,Rio Gallegos,AR,2022-04-20 20:19:48,-51.6226,-69.2181,41,288.18,75,6.69
159,Filingue,NE,2022-04-20 20:19:48,14.3521,3.3168,16,308.01,80,0.97
160,Zachary,US,2022-04-20 20:19:06,30.6485,-91.1565,77,300.23,0,8.75
161,Longyearbyen,SJ,2022-04-20 20:19:49,78.2186,15.6401,69,271.06,75,8.75
162,Dikson,RU,2022-04-20 20:19:49,73.5069,80.5464,100,254.79,91,4.0
163,Santa Rosalia,MX,2022-04-20 20:19:50,27.3167,-112.2833,37,300.67,76,2.24
164,Salalah,OM,2022-04-20 20:19:50,17.0151,54.0924,74,301.2,75,2.06
165,Mana,GF,2022-04-20 20:19:51,5.6592,-53.7767,86,299.01,100,4.53
166,Sangueya,GN,2022-04-20 20:19:51,10.7,-14.3667,64,299.71,43,2.67
167,Saint-Francois,FR,2022-04-20 20:19:52,46.4154,3.9054,72,286.84,0,1.54
168,Hofn,IS,2022-04-20 20:19:52,64.2539,-15.2082,96,280.68,100,4.94
169,Saint George,US,2022-04-20 20:19:01,37.1041,-113.5841,19,298.95,0,1.34
170,Bingol,TR,2022-04-20 20:19:53,38.8847,40.4939,48,284.64,0,0.72
171,Bethel,US,2022-04-20 20:19:53,41.3712,-73.414,38,287.85,0,6.17
172,Caravelas,BR,2022-04-20 20:19:54,-17.7125,-39.2481,67,298.33,2,2.9
173,Cabo San Lucas,MX,2022-04-20 20:19:54,22.8909,-109.9124,68,298.74,0,3.13
